A    a
AMFIBOLISME    a m f i b o l i s m ##
AMFISTON    a m f i s t o n
AMFITEATER    a m f i t ## a t ## r
AMFOTERIK    a m f o t ## r i k
AMI    a m i
AMIGDALIN    a m i g d a l i n
AMIKAL    a m i k a l
AMIL    a m i l
AMILASE    a m i l a s ##
AMILOPEKTIN    a m i l o p ## k t i n
AMIN    a m i n
AMIN-AMIN    a m i n a m i n
AMINA    a m i n a
AMINISASI    a m i n i s a s i
AMINO    a m i n o
AMIR    a m i r
AMIRULBAHAR    a m i r u l b a h a r
AMIRULHAJ    a m i r u l h a j
AMIRULMUKMININ    a m i r u l m u k m i n i n
AMIS    a m i s
AMIT    a m i t
AMIT-AMIT    a m i t a m i t
AMITOSIR    a m i t o s i r
AMKO    a m k o
AMMETER    a m m ## t ## r
AMNESIA    a m n ## s i a
AMNESTI    a m n ## s t i
AMNION    a m n i o n
AMNIOTIK    a m n i o t i k
AMOI    a m ##
AMONIA    a m o n i a
AMONIFIKASI    a m o n i f i k a s i
AMONIT    a m o n i t
AMONIUM    a m o n i u m
AMOR    a m o r
AMORAL    a m o r a l
AMORF    a m o r f
AMORTISASI    a m o r t i s a s i
AMPAI    a m p ##
AMPANG    a m p a ng
AMPAS    a m p a s
AMPAT    a m p a t
AMPE    a m p ##
AMPEAN    a m p ## a n
AMPEK    a m p ## k
AMPEL    a m p ## l
AMPELA    a m p ## l a
AMPELAM    a m p ## l a m
AMPELAS    a m p ## l a s
AMPERE    a m p ## r ##
AMPEREMETER    a m p ## r ## m ## t ## r
AMPEROMETRI    a m p ## r o m ## t r i
AMPISILIN    a m p i s i l i n
AMPLAS    a m p l a s
AMPLIFIKASI    a m p l i f i k a s i
AMPLITUDO    a m p l i t u d o
AMPLOP    a m p l o p
AMPO    a m p o
AMPROK    a m p r o k
AMPRUNG    a m p r u ng
AMPU    a m p u
AMPUH    a m p u h
AMPUK    a m p u k
AMPUL    a m p u l
AMPULA    a m p u l a
AMPUN    a m p u n
AMPUT    a m p u t
AMPUTASI    a m p u t a s i
AMRA    a m r a
AMRIL    a m r i l
AMSAL    a m s a l
AMTENAR    a m t ## n a r
AMUBA    a m u b a
AMUH    a m u h
AMUK    a m u k
AMULET    a m u l ## t
AMUNG    a m u ng
AMUNISI    a m u n i s i
ANA    a n a
ANABASIS    a n a b a s i s
ANABIOSIS    a n a b i o s i s
ANABOLISME    a n a b o l i s m ##
ANADROM    a n a d r o m
ANAEROB    a n a ## r o b
ANAEROBIK    a n a ## r o b i k
ANAFILAKSIS    a n a f i l a k s i s
ANAFORA    a n a f o r a
ANAFORIS    a n a f o r i s
ANAFRODISIAK    a n a f r o d i s i a k
ANAGLIF    a n a g l i f
ANAI-ANAI    a n ## a n ##
ANAK    a n a k
ANAKOLUTON    a n a k o l u t o n
ANAKRONISME    a n a k r o n i s m ##
ANAKRONISTIS    a n a k r o n i s t i s
ANAKRUS    a n a k r u s
ANAL    a n a l
ANALEKTA    a n a l ## k t a
ANALEPTIK    a n a l ## p t i k
ANALGESIK    a n a l g ## s i k
ANALIS    a n a l i s
ANALISIS    a n a l i s i s
ANALITIS    a n a l i t i s
ANALOG    a n a l o g
ANALOGI    a n a l o g i
ANALSEKS    a n a l s ## k s
ANALSIT    a n a l s i t
ANAMEL    a n a m ## l
ANAMNESIS    a n a m n ## s i s
ANAMORFOSIS    a n a m o r f o s i s
ANANDA    a n a n d a
ANANG    a n a ng
ANANI    a n a n i
ANAPES    a n a p ## s
ANAPTIKSIS    a n a p t i k s i s
ANARKI    a n a r k i
ANARKIS    a n a r k i s
ANARKISME    a n a r k i s m ##
ANARKISTIS    a n a r k i s t i s
ANASIONAL    a n a s i o n a l
ANASIR    a n a s i r
ANASTOMOSIS    a n a s t o m o s i s
ANATASE    a n a t a s ##
ANATOMI    a n a t o m i
ANATOMIS    a n a t o m i s
ANBIA    a n b i a
ANCA    a n c a
ANCAI    a n c ##
ANCAK    a n c a k
ANCAK-ANCAK    a n c a k a n c a k
ANCALA    a n c a l a
ANCAM    a n c a m
ANCANG    a n c a ng
ANCAR-ANCAR    a n c a r a n c a r
ANCOA    a n c o a
ANCOL    a n c o l
ANCUK    a n c u k
ANDA    a n d a
ANDAI    a n d ##
ANDAK    a n d a k
ANDAKA    a n d a k a
ANDAL    a n d a l
ANDALAS    a n d a l a s
ANDALUSIT    a n d a l u s i t
ANDAM    a n d a m
ANDAN    a n d a n
ANDANG    a n d a ng
ANDANG-ANDANG    a n d a ng a n d a ng
ANDAPITA    a n d a p i t a
ANDAR    a n d a r
ANDARAH    a n d a r a h
ANDENG-ANDENG    a n d ## ng a n d ## ng
ANDERAK    a n d ## r a k
ANDESIT    a n d ## s i t
ANDEWI    a n d ## w i
ANDIKA    a n d i k a
ANDIKO    a n d i k o
ANDIL    a n d i l
ANDILAU    a n d i l ##
ANDOK    a n d o k
ANDONG    a n d o ng
ANDRAGOGI    a n d r a g o g i
ANDRAWINA    a n d r a w i n a
ANDROGEN    a n d r o g ## n
ANDROGINI    a n d r o g i n i
ANDROGOGI    a n d r o g o g i
ANDROLOG    a n d r o l o g
ANDROLOGI    a n d r o l o g i
ANDUH    a n d u h
ANDUNG    a n d u ng
ANDUR    a n d u r
ANEH    a n ## h
ANEKA    a n ## k a
ANEKDOT    a n ## k d o t
ANEKSASI    a n ## k s a s i
ANEMER    a n ## m ## r
ANEMIA    a n ## m i a
ANEMOFILI    a n ## m o f i l i
ANEMOGRAF    a n ## m o g r a f
ANEMOGRAM    a n ## m o g r a m
ANEMOMETER    a n ## m o m ## t ## r
ANEROID    a n ## r ## d
ANESTESI    a n ## s t ## s i
ANESTESIA    a n ## s t ## s i a
ANESTESIOLOG    a n ## s t ## s i o l o g
ANESTETIS    a n ## s t ## t i s
ANEUPLOID    a n ## u p l ## d
ANEURISME    a n ## u r i s m ##
ANFAS    a n f a s
ANGAH    a ng a h
ANGAN    a ng a n
ANGEL    a ng ## l
ANGGA    a ng g a
ANGGAI    a ng g ##
ANGGAK    a ng g a k
ANGGAL    a ng g a l
ANGGAN    a ng g a n
ANGGAP    a ng g a p
ANGGAR    a ng g a r
ANGGARA    a ng g a r a
ANGGAU    a ng g ##
ANGGERKA    a ng g ## r k a
ANGGIT    a ng g i t
ANGGLAP    a ng g l a p
ANGGOROKASIH    a ng g o r o k a s i h
ANGGOTA    a ng g o t a
ANGGREK    a ng g r ## k
ANGGREKWAN    a ng g r ## k w a n
ANGGUH    a ng g u h
ANGGUK    a ng g u k
ANGGUL    a ng g u l
ANGGUN    a ng g u n
ANGGUNG    a ng g u ng
ANGGUNG-ANGGIP    a ng g u ng a ng g i p
ANGGUR    a ng g u r
ANGGUT    a ng g u t
ANGHUN    a ng h u n
ANGIN    a ng i n
ANGINA    a ng i n a
ANGIOGENESIS    a ng i o g ## n ## s i s
ANGIOLOGI    a ng i o l o g i
ANGIOSPERMA    a ng i o s p ## r m a
ANGIT    a ng i t
ANGKA    a ng k a
ANGKAK    a ng k a k
ANGKAL-ANGKAL    a ng k a l a ng k a l
ANGKARA    a ng k a r a
ANGKASA    a ng k a s a
ANGKASAWAN    a ng k a s a w a n
ANGKASAWATI    a ng k a s a w a t i
ANGKAT    a ng k a t
ANGKEL    a ng k ## l
ANGKER    a ng k ## r
ANGKET    a ng k ## t
ANGKIN    a ng k i n
ANGKIT    a ng k i t
ANGKLUNG    a ng k l u ng
ANGKONG    a ng k o ng
ANGKRING    a ng k r i ng
ANGKU    a ng k u
ANGKUH    a ng k u h
ANGKUK    a ng k u k
ANGKUL-ANGKUL    a ng k u l a ng k u l
ANGKUP    a ng k u p
ANGKUR    a ng k u r
ANGKUS    a ng k u s
ANGKUSA    a ng k u s a
ANGKUT    a ng k u t
ANGKUT-ANGKUT    a ng k u t a ng k u t
ANGLER    a ng l ## r
ANGLO    a ng l o
ANGLONG    a ng l o ng
ANGLUNG    a ng l u ng
ANGON    a ng o n
ANGOP    a ng o p
ANGOT    a ng o t
ANGPAU    a ng p ##
ANGSA    a ng s a
ANGSANA    a ng s a n a
ANGSOKA    a ng s o k a
ANGSU    a ng s u
ANGSUR    a ng s u r
ANGUS    a ng u s
ANGUT    a ng u t
ANHIDROSIS    a n h i d r o s i s
ANI    a n i
ANI-ANI    a n i a n i
ANIAYA    a n i a y a
ANIL    a n i l
ANILINA    a n i l i n a
ANIMASI    a n i m a s i
ANIMIS    a n i m i s
ANIMISME    a n i m i s m ##
ANIMO    a n i m o
ANING-ANING    a n i ng a n i ng
ANION    a n i o n
ANIRIDIA    a n i r i d i a
ANIS    a n i s
ANISOGAMET    a n i s o g a m ## t
ANISOGAMI    a n i s o g a m i
ANISOKORIA    a n i s o k o r i a
ANISOTROPIS    a n i s o t r o p i s
ANJA    a n j a
ANJAK    a n j a k
ANJAL    a n j a l
ANJANG    a n j a ng
ANJANG-ANJANG    a n j a ng a n j a ng
ANJANGKARYA    a n j a ng k a r y a
ANJANGSANA    a n j a ng s a n a
ANJAR    a n j a r
ANJIMAN    a n j i m a n
ANJING    a n j i ng
ANJING-ANJING    a n j i ng a n j i ng
ANJIR    a n j i r
ANJLOK    a n j l o k
ANJU    a n j u
ANJUNG    a n j u ng
ANJUR    a n j u r
ANKILOSIS    a n k i l o s i s
ANOA    a n o a
ANODE    a n o d ##
ANODIN    a n o d i n
ANOFELES    a n o f ## l ## s
ANOKSEMIA    a n o k s ## m i a
ANOKSIK    a n o k s i k
ANOM    a n o m
ANOMALI    a n o m a l i
ANOMI    a n o m i
ANONIM    a n o n i m
ANONIMITAS    a n o n i m i t a s
ANOREKSIA    a n o r ## k s i a
ANORGANIK    a n o r g a n i k
ANORGASTIK    a n o r g a s t i k
ANORTOPIA    a n o r t o p i a
ANOSMIA    a n o s m i a
ANOTASI    a n o t a s i
ANSA    a n s a
ANSAMBEL    a n s a m b ## l
ANSAR    a n s a r
ANSARI    a n s a r i
ANTA    a n t a
ANTAGONIS    a n t a g o n i s
ANTAGONISME    a n t a g o n i s m ##
ANTAGONISTIS    a n t a g o n i s t i s
ANTAH    a n t a h
ANTAH-BERANTAH    a n t a h b ## r a n t a h
ANTAKESUMA    a n t a k ## s u m a
ANTALAS    a n t a l a s
ANTALKALI    a n t a l k a l i
ANTAMIR    a n t a m i r
ANTAN    a n t a n
ANTAP    a n t a p
ANTAR    a n t a r
ANTARA    a n t a r a
ANTARBANGSA    a n t a r b a ng s a
ANTARBENUA    a n t a r b ## n u a
ANTARDAERAH    a n t a r d a ## r a h
ANTARI    a n t a r i
ANTARIKSA    a n t a r i k s a
ANTARIKSAWAN    a n t a r i k s a w a n
ANTARIKSAWATI    a n t a r i k s a w a t i
ANTARKELOMPOK    a n t a r k ## l o m p o k
ANTARLINGKUNGAN    a n t a r l i ng k u ng a n
ANTARMASTER    a n t a r m a s t ## r
ANTARMOLEKUL    a n t a r m o l ## k u l
ANTARMUKA    a n t a r m u k a
ANTARNEGARA    a n t a r n ## g a r a
ANTARPLANET    a n t a r p l a n ## t
ANTARPRIBADI    a n t a r p r i b a d i
ANTARPULAU    a n t a r p u l ##
ANTARRAS    a n t a r r a s
ANTARRUANG    a n t a r r u a ng
ANTARSEL    a n t a r s ## l
ANTARSUKU    a n t a r s u k u
ANTARTIKA    a n t a r t i k a
ANTARWILAYAH    a n t a r w i l a y a h
ANTASID    a n t a s i d
ANTASIDA    a n t a s i d a
ANTAWACANA    a n t a w a c a n a
ANTE    a n t ##
ANTEDILIVIUM    a n t ## d i l i f i u m
ANTEDILUVIUM    a n t ## d i l u f i u m
ANTEFIKS    a n t ## f i k s
ANTEK    a n t ## k
ANTEKEN    a n t ## k ## n
ANTELAS    a n t ## l a s
ANTELIKS    a n t ## l i k s
ANTELMINTIK    a n t ## l m i n t i k
ANTELOP    a n t ## l o p
ANTEM    a n t ## m
ANTEMERIDIEM    a n t ## m ## r i d i ## m
ANTENA    a n t ## n a
ANTENATAL    a n t ## n a t a l
ANTENG    a n t ## ng
ANTENUL    a n t ## n u l
ANTEP    a n t ## p
ANTER    a n t ## r
ANTERA    a n t ## r a
ANTERIDIUM    a n t ## r i d i u m
ANTERIOR    a n t ## r i o r
ANTERO    a n t ## r o
ANTESEDEN    a n t ## s ## d ## n
ANTI    a n t i
ANTIANEMIA    a n t i a n ## m i a
ANTIARTRITIK    a n t i a r t r i t i k
ANTIBARION    a n t i b a r i o n
ANTIBEKU    a n t i b ## k u
ANTIBIOSIS    a n t i b i o s i s
ANTIBIOTIK    a n t i b i o t i k
ANTIBODI    a n t i b o d i
ANTIDEPRESAN    a n t i d ## p r ## s a n
ANTIDIOKSIDA    a n t i d i o k s i d a
ANTIDIURETIK    a n t i d i u r ## t i k
ANTIDOT    a n t i d o t
ANTIENZIM    a n t i ## n z i m
ANTIFLOGISTIK    a n t i f l o g i s t i k
ANTIGEN    a n t i g ## n
ANTIGRAVITASI    a n t i g r a f i t a s i
ANTIH    a n t i h
ANTIHISTAMIN    a n t i h i s t a m i n
ANTIJASAD    a n t i j a s a d
ANTIK    a n t i k
ANTIKARAT    a n t i k a r a t
ANTIKATALIS    a n t i k a t a l i s
ANTIKLIMAKS    a n t i k l i m a k s
ANTIKLIN    a n t i k l i n
ANTIKLINAL    a n t i k l i n a l
ANTIKLOR    a n t i k l o r
ANTIKONSEPSI    a n t i k o n s ## p s i
ANTIKRISTUS    a n t i k r i s t u s
ANTIKUARI    a n t i k u a r i
ANTIKUARIAT    a n t i k u a r i a t
ANTIMATERI    a n t i m a t ## r i
ANTIMETARI    a n t i m ## t a r i
ANTIMONIUM    a n t i m o n i u m
ANTIMUNTAH    a n t i m u n t a h
ANTING    a n t i ng
ANTINOMI    a n t i n o m i
ANTINOVEL    a n t i n o f ## l
ANTIPARTIKEL    a n t i p a r t i k ## l
ANTIPATI    a n t i p a t i
ANTIPENAWAR    a n t i p ## n a w a r
ANTIPIRETIK    a n t i p i r ## t i k
ANTIPODE    a n t i p o d ##
ANTIPROTON    a n t i p r o t o n
ANTIPRURITIK    a n t i p r u r i t i k
ANTISEMITISME    a n t i s ## m i t i s m ##
ANTISEPSIS    a n t i s ## p s i s
ANTISEPTIK    a n t i s ## p t i k
ANTISIKLOGENESIS    a n t i s i k l o g ## n ## s i s
ANTISIKLON    a n t i s i k l o n
ANTISIKLONAL    a n t i s i k l o n a l
ANTISIKLONIS    a n t i s i k l o n i s
ANTISIMPUL    a n t i s i m p u l
ANTISIPASI    a n t i s i p a s i
ANTISIPATIF    a n t i s i p a t i f
ANTITANK    a n t i t a n k
ANTITESIS    a n t i t ## s i s
ANTITOKSIN    a n t i t o k s i n
ANTITRAGUS    a n t i t r a g u s
ANTIWIRAWAN    a n t i w i r a w a n
ANTIZARAH    a n t i z a r a h
ANTOI    a n t ##
ANTOLOGI    a n t o l o g i
ANTONIM    a n t o n i m
ANTONIMI    a n t o n i m i
ANTOP    a n t o p
ANTOSIAN    a n t o s i a n
ANTRAKNOSA    a n t r a k n o s a
ANTRAKS    a n t r a k s
ANTRASENA    a n t r a s ## n a
ANTRASIAN    a n t r a s i a n
ANTRASIT    a n t r a s i t
ANTRE    a n t r ##
ANTRI    a n t r i
ANTROMOMETER    a n t r o m o m ## t ## r
ANTROMORFIS    a n t r o m o r f i s
ANTROPOBIOLOGI    a n t r o p o b i o l o g i
ANTROPODA    a n t r o p o d a
ANTROPOFAGI    a n t r o p o f a g i
ANTROPOGEOGRAFI    a n t r o p o g ## o g r a f i
ANTROPOID    a n t r o p ## d
ANTROPOLOG    a n t r o p o l o g
ANTROPOLOGI    a n t r o p o l o g i
ANTROPOMETER    a n t r o p o m ## t ## r
ANTROPOMORFISME    a n t r o p o m o r f i s m ##
ANTROPONIMI    a n t r o p o n i m i
ANTROPOSENTRIS    a n t r o p o s ## n t r i s
ANTROPOSENTRISME    a n t r o p o s ## n t r i s m ##
ANTROPOSOFI    a n t r o p o s o f i
ANTUK    a n t u k
ANTUL    a n t u l
ANTUN    a n t u n
ANTUNG-ANTUNG    a n t u ng a n t u ng
ANTUP    a n t u p
ANTURIUM    a n t u r i u m
ANTUSIAS    a n t u s i a s
ANTUSIASME    a n t u s i a s m ##
ANU    a n u
ANUAL    a n u a l
ANUGERAH    a n u g ## r a h
ANUITAS    a n u i t a s
ANULIR    a n u l i r
ANULUS    a n u l u s
ANUMERTA    a n u m ## r t a
ANUNASIKA    a n u n a s i k a
ANURESIS    a n u r ## s i s
ANURIA    a n u r i a
ANUS    a n u s
ANUSWARA    a n u s w a r a
ANUT    a n u t
ANYAK    a ny a k
ANYAM    a ny a m
ANYANG    a ny a ng
ANYANG-ANYANG    a ny a ng a ny a ng
ANYAR    a ny a r
ANYEL    a ny ## l
ANYELIR    a ny ## l i r
ANYEP    a ny ## p
ANYES    a ny ## s
ANYIK    a ny i k
ANYIR    a ny i r
AORTA    a o r t a
APA    a p a
APABILA    a p a b i l a
APAK    a p a k
APAKAH    a p a k a h
APAKALA    a p a k a l a
APALAGI    a p a l a g i
APAM    a p a m
APANASE    a p a n a s ##
APAR    a p a r
APARAT    a p a r a t
APARATUR    a p a r a t u r
APARATUS    a p a r a t u s
APARTEMEN    a p a r t ## m ## n
APARTEMENISASI    a p a r t ## m ## n i s a s i
APARTHEID    a p a r t h ## d
APARTOTEL    a p a r t o t ## l
APAS    a p a s
APATAH    a p a t a h
APATI    a p a t i
APATIS    a p a t i s
APATRIDE    a p a t r i d ##
APE    a p ##
APEK    a p ## k
APEL    a p ## l
APELATIVA    a p ## l a t i f a
APENDEKTOMI    a p ## n d ## k t o m i
APENDIKS    a p ## n d i k s
APENDISITIS    a p ## n d i s i t i s
APEPSI    a p ## p s i
APERSEPSI    a p ## r s ## p s i
APES    a p ## s
APHELION    a p h ## l i o n
APHELIOTROPISME    a p h ## l i o t r o p i s m ##
API    a p i
API-API    a p i a p i
APIK    a p i k
APIKAL    a p i k a l
APIKULTUR    a p i k u l t u r
APILAN    a p i l a n
APING    a p i ng
APION    a p i o n
APIT    a p i t
APIT-APIT    a p i t a p i t
APIUM    a p i u m
APKIR    a p k i r
APLASI    a p l a s i
APLAUS    a p l ## s
APLIKASI    a p l i k a s i
APLIKATIF    a p l i k a t i f
APLUS    a p l u s
APNEA    a p n ## a
APO    a p o
APODAL    a p o d a l
APOENZIM    a p o ## n z i m
APOGAMI    a p o g a m i
APOGE    a p o g ##
APOGRAF    a p o g r a f
APOK    a p o k
APOKALIPS    a p o k a l i p s
APOKALIPTIK    a p o k a l i p t i k
APOKOPE    a p o k o p ##
APOKRIFA    a p o k r i f a
APOKRIN    a p o k r i n
APOKROMATIK    a p o k r o m a t i k
APOLITIS    a p o l i t i s
APOLOGETIKA    a p o l o g ## t i k a
APOLOGETIS    a p o l o g ## t i s
APOLOGI    a p o l o g i
APOLOGIA    a p o l o g i a
APOMIKSIS    a p o m i k s i s
APOMORFIN    a p o m o r f i n
APOPLEKSI    a p o p l ## k s i
APOSEMATIK    a p o s ## m a t i k
APOSIOPESIS    a p o s i o p ## s i s
APOSISI    a p o s i s i
APOSISIONAL    a p o s i s i o n a l
APOSITIF    a p o s i t i f
APOSTASI    a p o s t a s i
APOSTEL    a p o s t ## l
APOSTERIORI    a p o s t ## r i o r i
APOSTOLIK    a p o s t o l i k
APOSTROF    a p o s t r o f
APOTEK    a p o t ## k
APOTEKER    a p o t ## k ## r
APOTIK    a p o t i k
APRAKSI    a p r a k s i
APRAKSIA    a p r a k s i a
APRESIASI    a p r ## s i a s i
APRESIATIF    a p r ## s i a t i f
APRESORIUM    a p r ## s o r i u m
APRIL    a p r i l
APRIORI    a p r i o r i
APRIT    a p r i t
APRON    a p r o n
APSARA    a p s a r a
APSARI    a p s a r i
APTASI    a p t a s i
APTIKLUS    a p t i k l u s
APU    a p u
APU-APU    a p u a p u
APUH    a p u h
APUNG    a p u ng
APURAN    a p u r a n
ARA    a r a
ARAB    a r a b
ARABABU    a r a b a b u
ARABAHU    a r a b a h u
ARABES    a r a b ## s
ARABESK    a r a b ## s k
ARABIKA    a r a b i k a
ARAGONIT    a r a g o n i t
ARAH    a r a h
ARAI    a r ##
ARAK    a r a k
ARAKNITIS    a r a k n i t i s
ARAKNOID    a r a k n ## d
ARAL    a r a l
ARAM    a r a m
ARAMBA    a r a m b a
ARANG    a r a ng
ARANSEMEN    a r a n s ## m ## n
ARARUT    a r a r u t
ARAS    a r a s
ARASY    a r a sy
ARAU    a r ##
ARBAA    a r b a a
ARBAB    a r b a b
ARBEI    a r b ##
ARBITER    a r b i t ## r
ARBITRASE    a r b i t r a s ##
ARBITRER    a r b i t r ## r
ARBOREAL    a r b o r ## a l
ARBORETUM    a r b o r ## t u m
ARBORIKULTUR    a r b o r i k u l t u r
ARCA    a r c a
ARCAS    a r c a s
ARDI    a r d i
ARE    a r ##
AREA    a r ## a
AREAL    a r ## a l
AREK    a r ## k
AREM-AREM    a r ## m a r ## m
AREN    a r ## n
ARENA    a r ## n a
AREOGRAFI    a r ## o g r a f i
AREOLA    a r ## o l a
AREOMETER    a r ## o m ## t ## r
ARERUT    a r ## r u t
ARES    a r ## s
ARESTASI    a r ## s t a s i
ARETA    a r ## t a
ARGARI    a r g a r i
ARGENTIT    a r g ## n t i t
ARGENTUM    a r g ## n t u m
ARGIRODIT    a r g i r o d i t
ARGOL    a r g o l
ARGOMETER    a r g o m ## t ## r
ARGON    a r g o n
ARGOT    a r g o t
ARGUMEN    a r g u m ## n
ARGUMENTASI    a r g u m ## n t a s i
ARGUMENTATIF    a r g u m ## n t a t i f
ARI    a r i
ARI-ARI    a r i a r i
ARIA    a r i a
ARIES    a r i ## s
ARIF    a r i f
ARIFIN    a r i f i n
ARIH    a r i h
ARIK    a r i k
ARIL    a r i l
ARING    a r i ng
ARININGSUN    a r i n i ng s u n
ARIP    a r i p
ARIS    a r i s
ARISAN    a r i s a n
ARISTOKRASI    a r i s t o k r a s i
ARISTOKRAT    a r i s t o k r a t
ARISTOKRATIS    a r i s t o k r a t i s
ARISTOTIPE    a r i s t o t i p ##
ARIT    a r i t
ARITENOID    a r i t ## n ## d
ARITMETIKA    a r i t m ## t i k a
ARJA    a r j a
ARKADE    a r k a d ##
ARKAIS    a r k ## s
ARKAISME    a r k ## s m ##
ARKAN    a r k a n
ARKATI    a r k a t i
ARKEGONIUM    a r k ## g o n i u m
ARKEOLOG    a r k ## o l o g
ARKEOLOGI    a r k ## o l o g i
ARKEOLOGIS    a r k ## o l o g i s
ARKEOZOIKUM    a r k ## o z ## k u m
ARKETIPE    a r k ## t i p ##
ARKIAN    a r k i a n
ARKIFONEM    a r k i f o n ## m
ARKILEKSEM    a r k i l ## k s ## m
ARKITRAF    a r k i t r a f
ARKTIKA    a r k t i k a
ARKU    a r k u
ARLOJI    a r l o j i
ARMADA    a r m a d a
ARNAL    a r n a l
AROGAN    a r o g a n
AROGANSI    a r o g a n s i
AROMA    a r o m a
AROMATIK    a r o m a t i k
AROMBAI    a r o m b ##
ARON    a r o n
ARPUS    a r p u s
ARSENAL    a r s ## n a l
ARSENIK    a r s ## n i k
ARSENIKUM    a r s ## n i k u m
ARSIP    a r s i p
ARSIPELAGO    a r s i p ## l a g o
ARSIR    a r s i r
ARSIS    a r s i s
ARSITEK    a r s i t ## k
ARSITEKTUR    a r s i t ## k t u r
ARTA    a r t a
ARTEFAK    a r t ## f a k
ARTERI    a r t ## r i
ARTERIOGRAFI    a r t ## r i o g r a f i
ARTERIOLA    a r t ## r i o l a
ARTERIOSKLEROSIS    a r t ## r i o s k l ## r o s i s
ARTESIS    a r t ## s i s
ARTETIS    a r t ## t i s
ARTI    a r t i
ARTICOK    a r t i c o k
ARTIFAK    a r t i f a k
ARTIFISIAL    a r t i f i s i a l
ARTIK    a r t i k
ARTIKEL    a r t i k ## l
ARTIKULASI    a r t i k u l a s i
ARTIKULATOR    a r t i k u l a t o r
ARTILERI    a r t i l ## r i
ARTIODAKTIL    a r t i o d a k t i l
ARTIS    a r t i s
ARTISAN    a r t i s a n
ARTISTIK    a r t i s t i k
ARTISYOK    a r t i sy o k
ARTONA    a r t o n a
ARTOTEK    a r t o t ## k
ARTROBRANKIUM    a r t r o b r a n k i u m
ARTROPODA    a r t r o p o d a
ARU    a r u
ARUAN    a r u a n
ARUDA    a r u d a
ARUK    a r u k
ARUMBA    a r u m b a
ARUN    a r u n
ARUNG    a r u ng
ARUS    a r u s
ARWAH    a r w a h
ARWANA    a r w a n a
ARYA    a r y a
ARYADUTA    a r y a d u t a
ARZAK    a r z a k
AS    a s
ASA    a s a
ASABAT    a s a b a t
ASABIAH    a s a b i a h
ASABIYAH    a s a b i y a h
ASAD    a s a d
ASAH    a s a h
ASAI    a s ##
ASAK    a s a k
ASAL    a s a l
ASALI    a s a l i
ASAM    a s a m
ASAN    a s a n
ASANA    a s a n a
ASAP    a s a p
ASAR    a s a r
ASAS    a s a s
ASASI    a s a s i
ASBAK    a s b a k
ASBES    a s b ## s
ASBUT    a s b u t
ASE    a s ##
ASEKSUAL    a s ## k s u a l
ASEMBLE    a s ## m b l ##
ASEMBLING    a s ## m b l i ng
ASEPSIS    a s ## p s i s
ASEPTIK    a s ## p t i k
ASERAN    a s ## r a n
ASESE    a s ## s ##
ASET    a s ## t
ASETABULUM    a s ## t a b u l u m
ASETAT    a s ## t a t
ASETILENA    a s ## t i l ## n a
ASETIMETER    a s ## t i m ## t ## r
ASETON    a s ## t o n
ASFAL    a s f a l
ASFAR    a s f a r
ASFIKSIA    a s f i k s i a
ASI    a s i
ASIBILAN    a s i b i l a n
ASIBILASI    a s i b i l a s i
ASID    a s i d
ASIDIMETER    a s i d i m ## t ## r
ASIDOSIS    a s i d o s i s
ASIH    a s i h
ASIKLIK    a s i k l i k
ASIL    a s i l
ASILABIS    a s i l a b i s
ASIMETRIS    a s i m ## t r i s
ASIMILASI    a s i m i l a s i
ASIMILATIF    a s i m i l a t i f
ASIMTOT    a s i m t o t
ASIMUS    a s i m u s
ASIN    a s i n
ASINDETON    a s i n d ## t o n
ASING    a s i ng
ASINYOR    a s i ny o r
ASIRI    a s i r i
ASISTEN    a s i s t ## n
ASISTENSI    a s i s t ## n s i
ASKAR    a s k a r
ASKARIASIS    a s k a r i a s i s
ASKARID    a s k a r i d
ASKESE    a s k ## s ##
ASKET    a s k ## t
ASKETISISME    a s k ## t i s i s m ##
ASKON    a s k o n
ASKRIPTIF    a s k r i p t i f
ASLI    a s l i
ASMA    a s m a
ASMARA    a s m a r a
ASMARADANTA    a s m a r a d a n t a
ASMARAGAMA    a s m a r a g a m a
ASMARALOKA    a s m a r a l o k a
ASMARANDANA    a s m a r a n d a n a
ASNAD    a s n a d
ASO    a s o
ASOI    a s ##
ASONANSI    a s o n a n s i
ASONG    a s o ng
ASOR    a s o r
ASORTIMEN    a s o r t i m ## n
ASOSIAL    a s o s i a l
ASOSIASI    a s o s i a s i
ASOSIATIF    a s o s i a t i f
ASPAL    a s p a l
ASPARAGA    a s p a r a g a
ASPARAGUS    a s p a r a g u s
ASPARTAME    a s p a r t a m ##
ASPEK    a s p ## k
ASPERSES    a s p ## r s ## s
ASPIRAN    a s p i r a n
ASPIRASI    a s p i r a s i
ASPIRASIONAL    a s p i r a s i o n a l
ASPIRAT    a s p i r a t
ASPIRATIF    a s p i r a t i f
ASPIRATOR    a s p i r a t o r
